Company,Employees_Laid_Off,Date,Industry,Location,Country,Reason,Department,Percentage_Workforce,Total_Employees,Severance_Weeks,AI_Related,Year,Month,Month_Name,Quarter
Duolingo,250,2025-01-08,EdTech,"Pittsburgh, PA",USA,AI replacing content creators,"Content, Marketing",10.0,2500,10,Yes,2025,1,January,1
Twitch,500,2025-01-09,Live Streaming,"San Francisco, CA",USA,Profitability challenges,"Engineering, Marketing",35.0,1400,14,No,2025,1,January,1
Coinbase,950,2025-01-10,Cryptocurrency,"San Francisco, CA",USA,Crypto market downturn,"Engineering, Marketing",20.0,4750,14,No,2025,1,January,1
Discord,170,2025-01-11,Communication,"San Francisco, CA",USA,Cost reduction,"Support, Marketing",17.0,1000,12,No,2025,1,January,1
Wayfair,1650,2025-01-19,E-commerce,"Boston, MA",USA,Market conditions,"Operations, Support",13.0,12700,10,No,2025,1,January,1
PayPal,2500,2025-01-31,Fintech,"San Jose, CA",USA,Cost reduction,"Operations, Engineering",9.0,28000,12,Partial,2025,1,January,1
Dell,6650,2025-02-05,Hardware,"Round Rock, TX",USA,Market conditions,"Sales, Marketing",5.0,133000,8,No,2025,2,February,1
Zoom,1300,2025-02-07,Video Conferencing,"San Jose, CA",USA,Post-pandemic adjustment,"Engineering, Sales",15.0,8700,16,No,2025,2,February,1
Cisco,7000,2025-02-15,Networking,"San Jose, CA",USA,Business realignment,"Sales, Support",8.5,82000,10,No,2025,2,February,1
Rivian,1000,2025-02-20,Automotive/EV,"Irvine, CA",USA,Cost management,"Manufacturing, Engineering",10.0,10000,8,No,2025,2,February,1
Stripe,1100,2025-03-14,Fintech,"San Francisco, CA",USA,Economic headwinds,"Engineering, Operations",14.0,7900,14,No,2025,3,March,1
IBM,3900,2025-03-22,Enterprise Software,"Armonk, NY",USA,AI automation,"IT Services, Consulting",1.4,280000,12,Yes,2025,3,March,1
Roku,360,2025-03-30,Streaming,"San Jose, CA",USA,Cost efficiency,"Engineering, Sales",10.0,3600,10,No,2025,3,March,1
Accenture,19000,2025-03-30,Consulting,"Dublin, Ireland",Ireland,Cost optimization,"Consulting, Operations",2.5,760000,8,Partial,2025,3,March,1
Dropbox,500,2025-04-27,Cloud Storage,"San Francisco, CA",USA,AI transformation,"Engineering, Support",16.0,3100,16,Yes,2025,4,April,2
Lyft,1072,2025-04-27,Ridesharing,"San Francisco, CA",USA,Profitability focus,"Operations, Support",26.0,4123,10,Partial,2025,4,April,2
Shopify,2300,2025-05-04,E-commerce,"Ottawa, Canada",Canada,Overexpansion correction,"Support, Logistics",23.0,10000,16,No,2025,5,May,2
Unity,1800,2025-05-08,Gaming/Software,"San Francisco, CA",USA,Business reset,"Engineering, Sales",25.0,7200,12,No,2025,5,May,2
Peloton,800,2025-05-22,Fitness Tech,"New York, NY",USA,Demand decline,"Manufacturing, Marketing",15.0,5333,12,No,2025,5,May,2
Intel,34000,2025-08-01,Semiconductors,"Santa Clara, CA",USA,"Restructuring, cost cutting","Manufacturing, R&D",15.0,227000,10,No,2025,8,August,3
Salesforce,4000,2025-09-15,SaaS/CRM,"San Francisco, CA",USA,AI automation of support roles,"Customer Support, Sales",5.5,73000,12,Yes,2025,9,September,3
HP,6000,2025-10-10,Hardware,"Palo Alto, CA",USA,"AI integration, declining PC sales","Sales, Support",10.0,60000,8,Yes,2025,10,October,4
SAP,8000,2025-11-20,Enterprise Software,"Walldorf, Germany",Germany,Restructuring,"Engineering, Consulting",7.0,114000,14,Partial,2025,11,November,4
Spotify,1500,2025-12-04,Music Streaming,"Stockholm, Sweden",Sweden,Profitability focus,"Marketing, Engineering",17.0,9000,14,No,2025,12,December,4
Snap,1300,2025-12-05,Social Media,"Santa Monica, CA",USA,Revenue decline,"Engineering, Marketing",20.0,6500,16,No,2025,12,December,4
TikTok,2200,2026-01-12,Social Media,"Los Angeles, CA",USA,US operations uncertainty,"Operations, Content Moderation",12.0,18333,10,Partial,2026,1,January,1
Amazon,16000,2026-01-15,E-commerce/Cloud,"Seattle, WA",USA,Cost optimization,"AWS, Retail",1.0,1600000,16,Partial,2026,1,January,1
X (Twitter),1200,2026-01-18,Social Media,"San Francisco, CA",USA,Further cost cutting,"Engineering, Sales",30.0,4000,4,No,2026,1,January,1
Microsoft,3000,2026-01-20,Software/Cloud,"Redmond, WA",USA,"AI automation, restructuring","Azure, Sales",1.3,230000,12,Yes,2026,1,January,1
Tesla,14000,2026-01-25,Automotive/EV,"Austin, TX",USA,Production slowdown,"Manufacturing, Engineering",10.0,140000,8,No,2026,1,January,1
Adobe,680,2026-01-28,Software,"San Jose, CA",USA,AI integration efficiency,"Sales, Support",2.3,29565,14,Yes,2026,1,January,1
Meta,5000,2026-02-01,Social Media,"Menlo Park, CA",USA,Efficiency measures,"Reality Labs, Engineering",7.5,67000,20,No,2026,2,February,1
Nvidia,450,2026-02-05,Semiconductors/AI,"Santa Clara, CA",USA,Department restructuring,"Sales, Marketing",1.5,30000,12,No,2026,2,February,1
Google,2500,2026-02-10,Search/AI,"Mountain View, CA",USA,AI integration,"Cloud, Hardware",1.4,180000,16,Yes,2026,2,February,1
Airbnb,890,2026-02-12,Travel Tech,"San Francisco, CA",USA,AI automation of support,"Customer Support, Operations",11.0,8091,16,Yes,2026,2,February,1
